,name,n_qubits,layers_target,layers_learn,epochs,lr,step,loss,ground_state_loss
0,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,0,24.040943145751953,0.9999999403953552
1,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,25,18.01568603515625,0.9998671412467957
2,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,50,14.9371337890625,0.998963475227356
3,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,75,13.35708236694336,0.9962684512138367
4,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,100,11.967055320739746,0.9927488565444946
5,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,125,11.109085083007812,0.989030122756958
6,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,150,10.737759590148926,0.9864665269851685
7,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,175,10.36073112487793,0.9834851026535034
8,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,200,10.032432556152344,0.9801820516586304
9,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,225,9.821775436401367,0.9763489961624146
10,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,250,9.585159301757812,0.971741259098053
11,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,275,9.335277557373047,0.966286301612854
12,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,300,9.129013061523438,0.9628198146820068
13,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,325,8.907434463500977,0.9581820964813232
14,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,350,8.641641616821289,0.9525666832923889
15,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,375,8.358479499816895,0.9469701647758484
16,./data/SGD_updated_fast_local_VQE_4layers_24_4_0.csv,24,4,4,30000,0.01,400,8.140926361083984,0.942403256893158
