,name,n_qubits,layers_target,layers_learn,epochs,lr,step,loss,ground_state_loss
0,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,0,19.989810943603516,0.9999992251396179
1,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,25,14.53523063659668,0.9991251826286316
2,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,50,12.229876518249512,0.9975004196166992
3,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,75,10.967540740966797,0.9954200387001038
4,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,100,10.342164993286133,0.9941206574440002
5,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,125,9.85208511352539,0.9925045371055603
6,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,150,9.410138130187988,0.9912199378013611
7,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,175,9.162918090820312,0.9887169003486633
8,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,200,8.952354431152344,0.9856641292572021
9,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,225,8.799883842468262,0.9819934964179993
10,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,250,8.62297248840332,0.9767943024635315
11,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,275,8.37203598022461,0.9699960350990295
12,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,300,8.142047882080078,0.9651301503181458
13,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,325,7.956277370452881,0.9591586589813232
14,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,350,7.536595821380615,0.9454649686813354
15,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,375,6.866796970367432,0.9310258626937866
16,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,400,6.550530433654785,0.925450325012207
17,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,425,6.391948699951172,0.9214568138122559
18,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,450,6.2970075607299805,0.918255627155304
19,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,475,6.235975742340088,0.915367603302002
20,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,500,6.1480584144592285,0.9122993350028992
21,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,525,6.101571083068848,0.9088459610939026
22,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,550,6.002642631530762,0.9041041731834412
23,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,575,5.920510292053223,0.8982665538787842
24,./data/SGD_updated_fast_local_VQE_4layers_20_4_0.csv,20,4,4,30000,0.01,600,5.873333930969238,0.893519937992096
